symbol_id,abb_zhname,name,registration,industry,tax_ID,found,listing,abb_enname,website,currency,par_value,description,type,enname
5905,南仁湖,南仁湖育樂股份有限公司,,18.0,23524280,1989-11-21,2003-06-17,NRL,http://www.nanrenhu.com.tw/,TWD,10.0,,,
6015,宏遠證,宏遠證券股份有限公司,,17.0,03027502,1961-12-08,1996-07-25,HORIZON Sec.,http://www.honsec.com.tw,TWD,10.0,,,
6016,康和證,康和綜合證券股份有限公司,,17.0,23824511,1990-07-25,1996-12-04,concords　　,https://www.concords.com.tw/Default.aspx,TWD,10.0,,,
6020,大展證,大展證券股份有限公司,,17.0,22955802,1988-06-17,2003-01-23,TACHAN,https://www.tachan.com.tw,TWD,10.0,,,
6021,大慶證,大慶證券股份有限公司,,17.0,22957098,1988-07-07,2003-04-21,TA CHING,https://www.tcstock.com.tw,TWD,10.0,,,
6023,元大期,元大期貨股份有限公司,,17.0,97179282,1997-04-09,2007-11-28,Yuanta Futures,http://www.yuantafutures.com.tw/,TWD,10.0,,,
6026,福邦證,福邦證券股份有限公司,,17.0,23471214,1989-09-05,2016-01-27,GFS,https://www.gfortune.com.tw,TWD,10.0,,,
6101,寬魚國際,寬魚國際股份有限公司,,32.0,23466893,1989-10-26,2001-03-29,KIC,https://kwansinternational.wixsite.com/kwansintern,TWD,10.0,,,
6103,合邦,合邦電子股份有限公司,,24.0,84149569,1996-01-22,2001-05-07,AVID,http://www.avid.com.tw,TWD,10.0,,,
6104,創惟,創惟科技股份有限公司,,24.0,97435451,1997-04-02,2001-05-22,　　GLI,https://www.genesyslogic.com,TWD,10.0,,,
6109,亞元,亞元科技股份有限公司,,27.0,23727428,1990-04-06,2001-07-26,AtechOEM,https://www.atechoem.com,TWD,10.0,,,
6111,大宇資,大宇資訊股份有限公司,,32.0,16612907,1998-08-03,2001-08-08,SOFTSTAR,https://group.softstar.com.tw,TWD,10.0,,,
6113,亞矽,亞矽科技股份有限公司,,29.0,22033899,1986-04-04,2001-08-10,ASEC,http://www.asec.com.tw,TWD,10.0,,,
6114,久威,久威國際股份有限公司,,28.0,43880075,1982-07-01,2001-09-27,JUIC,http://www.juic.com.tw,TWD,10.0,,,
6118,建達,建達國際股份有限公司,,29.0,89621848,1995-11-01,2001-10-25,Xander　　,https://www.xander.com.tw,TWD,10.0,,,
6121,新普,新普科技股份有限公司,,25.0,86620351,1992-04-16,2001-11-27,　SMP　,https://www.simplo.com.tw,TWD,10.0,,,
6122,擎邦,擎邦國際科技工程股份有限公司,,5.0,05114306,1982-08-21,2000-07-14,KPEC　　,https://www.kpec.com.tw,TWD,10.0,,,
6123,上奇,上奇科技股份有限公司,,25.0,86162989,1991-07-27,2002-01-23,GrandTech 　,https://www.grandtech.com,TWD,10.0,,,
6124,業強,業強科技股份有限公司,,28.0,84900878,1994-12-23,2002-03-19,YCTC,https://www.yctc.com.tw,TWD,10.0,,,
6125,廣運,廣運機械工程股份有限公司,,26.0,04757891,1976-07-12,2002-01-23,KENMEC　,http://www.kenmec.com,TWD,10.0,,,
6126,信音,信音企業股份有限公司,,28.0,47122187,1976-08-25,2002-01-18,　　,https://www.singatron.com.tw,TWD,10.0,,,
6127,九豪,九豪精密陶瓷股份有限公司,,28.0,86412635,1991-12-02,2002-01-10,LEATEC　,https://www.leatec.com.tw,TWD,10.0,,,
6129,普誠,普誠科技股份有限公司,,24.0,22050539,1986-05-15,2001-12-25,PTC　　,http://www.princeton.com.tw,TWD,10.0,,,
6130,星寶國際,星寶國際股份有限公司,,22.0,84659035,1994-01-07,2002-03-26,SIC,https://www.genomeib.com,TWD,10.0,,,
6134,萬旭,萬旭電業股份有限公司,,28.0,22522622,1987-06-04,2002-01-08,　　WSC,https://www.wanshih.com.tw,TWD,10.0,,,
6138,茂達,茂達電子股份有限公司,,24.0,16252902,1997-10-24,2002-01-18,ANPEC,http://www.anpec.com.tw,TWD,10.0,,,
6140,訊達,訊達電腦股份有限公司,,30.0,30990747,1982-11-08,2002-02-04,DIMENSION,https://www.dimension.com.tw,TWD,10.0,,,
6143,振曜,振曜科技股份有限公司,,27.0,16084080,1997-06-06,2002-01-28,"NETRONIX,INC.",https://www.netronixinc.com,TWD,10.0,,,
6144,得利影,得利影視股份有限公司,,32.0,89398566,1995-07-19,2002-01-23,DMT,https://www.deltamac.com.tw,TWD,10.0,,,
6146,耕興,耕興股份有限公司,,31.0,97491093,1997-05-01,2002-01-23,SPORTON　　,https://www.sporton.com.tw,TWD,10.0,,,
6147,頎邦,頎邦科技股份有限公司,,24.0,16130009,1997-07-02,2002-01-31,CHIPBOND　,https://www.chipbond.com.tw,TWD,10.0,,,
